Year,Macro Stat,User-friendly Stat Name,Code-friendly Stat Name,Code-friendly Stat Name - Year,URL
2017,Around the Green,Strokes Gained - Around the Green,SG_ATG,SG_ATG_2017,https://www.pgatour.com/content/pgatour/stats/stat.02569.y2017.html
2017,Around the Green,Sand Save Percentage,pct_sand_save,pct_sand_save_2017,https://www.pgatour.com/content/pgatour/stats/stat.111.y2017.html
2017,Around the Green,Scrambling,scrambling,scrambling_2017,https://www.pgatour.com/content/pgatour/stats/stat.130.y2017.html
2017,Putting,Strokes Gained - Putting,SG_putt,SG_putt_2017,https://www.pgatour.com/content/pgatour/stats/stat.02564.y2017.html
2017,Putting,Total Putting,total_put,total_put_2017,https://www.pgatour.com/content/pgatour/stats/stat.02428.y2017.html
2017,Putting,One-putt Percentage,pct_one_putt,pct_one_putt_2017,https://www.pgatour.com/content/pgatour/stats/stat.413.y2017.html
2017,Putting,Three-putt Avoidance,pct_three_putt_avoid,pct_three_putt_avoid_2017,https://www.pgatour.com/content/pgatour/stats/stat.426.y2017.html
2017,Putting,Putting Average,putt_avg,putt_avg_2017,https://www.pgatour.com/content/pgatour/stats/stat.104.y2017.html
2017,Putting,Putts per round,putts_per_rd,putts_per_rd_2017,https://www.pgatour.com/content/pgatour/stats/stat.119.y2017.html
2017,Scoring,Strokes Gained - Total,SG_total,SG_total_2017,https://www.pgatour.com/content/pgatour/stats/stat.02675.y2017.html
2017,Scoring,Scoring Average,scoring_avg,scoring_avg_2017,https://www.pgatour.com/content/pgatour/stats/stat.120.y2017.html
2017,Scoring,Bogey Avoidance,bogey_avoid,bogey_avoid_2017,https://www.pgatour.com/content/pgatour/stats/stat.02414.y2017.html
2017,Scoring,Birdie-to-Bogey Ratio,btb_ratio,btb_ratio_2017,https://www.pgatour.com/content/pgatour/stats/stat.02415.y2017.html
2017,Scoring,Par 3 Performance,p3_perf,p3_perf_2017,https://www.pgatour.com/content/pgatour/stats/stat.171.y2017.html
2017,Scoring,Par 4 Performance,p4_perf,p4_perf_2017,https://www.pgatour.com/content/pgatour/stats/stat.172.y2017.html
2017,Scoring,Par 5 Performance,p5_perf,p5_perf_2017,https://www.pgatour.com/content/pgatour/stats/stat.173.y2017.html
2017,MONEY (TARGET),OFFICIAL MONEY,money,money_2017,https://www.pgatour.com/content/pgatour/stats/stat.109.y2017.html
